,title,company,city,country,posted,link
65,Mechanical Planning Engineer,System Technique -,"Abu Rawash,","Giza,",Egypt,https://wuzzuf.net/jobs/p/cpf3jqfilaym-mechanical-planning-engineer-system-technique-giza-egypt
66,Hardware Test Engineer,etisal for advanced industries  -,"6th of October,","Giza,",Egypt,https://wuzzuf.net/jobs/p/p8wobawdfd7x-hardware-test-engineer-etisal-for-advanced-industries-giza-egypt
67,Senior AI Engineer,Fixed Solutions -,"Cairo,",Egypt,12 days ago,https://wuzzuf.net/jobs/p/9usjkdrrogts-senior-ai-engineer-fixed-solutions-cairo-egypt
68,Electrical Engineer - Railway,Hyundai Rotem -,"Cairo,",Egypt,10 days ago,https://wuzzuf.net/jobs/p/7hoz4hakqtmq-electrical-engineer-railway-hyundai-rotem-cairo-egypt
69,Communication Electrical Engineer,Amer Vision Group -,"Sheraton,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/husgfb4xmxfq-communication-electrical-engineer-amer-vision-group-cairo-egypt
70,Tendering & Cost Estimation Engineer,AEG Design & Construction -,"Sheikh Zayed,","Giza,",Egypt,https://wuzzuf.net/jobs/p/owlyqginmaul-tendering-cost-estimation-engineer-aeg-design-construction-giza-egypt
71,Mechanical Technical Office Engineer - Site Based,Concrete Plus -,"Cairo,",Egypt,2 days ago,https://wuzzuf.net/jobs/p/hsv6ssryvobg-mechanical-technical-office-engineer-site-based-concrete-plus-cairo-egypt
72,Technical Sales Engineer,OTAK Trading & Contracting -,"New Cairo,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/rv1j4mzcmkol-technical-sales-engineer-otak-trading-contracting-cairo-egypt
73,Business Intelligence Engineer,RISEUP (Endemag for Administrative Skills Development) -,"Maadi,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/qrgxmsd0l1ws-business-intelligence-engineer-riseup-endemag-for-administrative-skills-development-cairo-egypt
74,Embedded Firmware Engineer,IMBoX -,"New Cairo,","Cairo,",Egypt,https://wuzzuf.net/internship/xmetvhb3shh7-embedded-firmware-engineer-imbox-cairo-egypt
75,Tendering Estimation Engineer,Abu Gemeaa -,"New Cairo,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/zlvo54vnhfao-tendering-estimation-engineer-abu-gemeaa-cairo-egypt
76,Senior Procurement Electrical Engineer,National Electricity Technology Co. -,"Agouza,","Giza,",Egypt,https://wuzzuf.net/jobs/p/oj2tjah0h7y6-senior-procurement-electrical-engineer-national-electricity-technology-co-giza-egypt
77,Senior Business Development Engineer,National Electricity Technology Co. -,"Giza,",Egypt,9 days ago,https://wuzzuf.net/jobs/p/osnen0fwpwgp-senior-business-development-engineer-national-electricity-technology-co-giza-egypt
78,Senior Full-Stack Engineer Backend · Frontend · DevOps · Cloud Infrastructure,Confidential -,"Munich,",Germany,11 days ago,https://wuzzuf.net/jobs/p/gsoalsfptcfl-senior-full-stack-engineer-backend-frontend-devops-cloud-infrastructure-munich-germany
79,Junior Planning & Cost Control Engineer,New Generation Developments -,"Cairo,",Egypt,2 months ago,https://wuzzuf.net/jobs/p/jby1cvoivivu-junior-planning-cost-control-engineer-new-generation-developments-cairo-egypt
80,Technical Office Engineer,Confidential -,"Heliopolis,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/mk0wkf6oolm0-technical-office-engineer-cairo-egypt
81,Senior MEP Mechanical Technical Office Engineer,ZAD MEP -,"Heliopolis,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/t9dandrziiv3-senior-mep-mechanical-technical-office-engineer-zad-mep-cairo-egypt
82,Software Engineer - Python,Agency -,"Cairo,",Egypt,2 months ago,https://wuzzuf.net/jobs/p/n5kiqjatleiw-software-engineer-python-agency-cairo-egypt
83,Senior Production Planning Engineer,Power Solutions -,"6th of October,","Giza,",Egypt,https://wuzzuf.net/jobs/p/fdfctyolnoml-senior-production-planning-engineer-power-solutions-giza-egypt
84,AI & Data Automation Lead,Al monairy -,"10th of Ramadan City,","Sharqia,",Egypt,https://wuzzuf.net/jobs/p/leyiu40gcoeo-ai-data-automation-lead-al-monairy-sharqia-egypt
